crop_id,canonical_name_en,canonical_name_tl,scientific_name,category,aliases_en,aliases_tl,active
purple_yam,Purple yam,Ube,Dioscorea alata,root_crop,greater yam|ubi,,true
radish,Radish,Labanos,Raphanus sativus,vegetable,,,true
rambutan,Rambutan,Rambutan,Nephelium lappaceum,fruit,rambutan fruit,,true
santol,Santol,Santol,Sandoricum koetjape,fruit,santol fruit,,true
sineguelas,Sineguelas,Sineguelas,Spondias purpurea,fruit,sinequelas|Spanish plum,,true
soursop,Soursop,Guyabano,Annona muricata,fruit,guyabano|graviola,,true
squash,Squash,Kalabasa,Cucurbita moschata,vegetable,,,true
squash_tops,Squash tops,Talbos ng kalabasa,Cucurbita moschata,vegetable,squash leaves|squash tops,,true
star_apple,Star apple,Kaimito,Chrysophyllum cainito,fruit,caimito|star apple,,true
string_bean,String bean,Sitaw,Vigna unguiculata subsp. sesquipedalis,vegetable,yardlong bean,,true
sweet_potato,Sweet potato,Kamote,Ipomoea batatas,root_crop,,,true
tamarind,Tamarind,Sampalok,Tamarindus indica,fruit,sampalok|tamarind fruit,,true
taro,Taro,Gabi,Colocasia esculenta,root_crop,,,true
taro_leaves,Taro leaves with stem,Dahon ng gabi,Colocasia esculenta,vegetable,gabi leaves with stem|taro leaves|gabi leaves,,true
tomato,Tomato,Kamatis,Solanum lycopersicum,vegetable,garden tomato,,true
tugue,Tugue,Tugue,Dioscorea esculenta,root_crop,tugui,,true
turmeric,Turmeric,Luyang dilaw,Curcuma longa,spice,,,true
watermelon,Watermelon,Pakwan,Citrullus lanatus,fruit,,,true
white_potato,White potato,Patatas,Solanum tuberosum,root_crop,potato|Irish potato|patatas,,true
winged_bean,Winged bean,Sigarilyas,Psophocarpus tetragonolobus,legume,winged beans|sigarilyas,,true
