crop_id,geography_id,period_start,period_end,planned_area_ha,reference_area_ha,area_unit,ratio,risk_level,data_kind,dataset_version
avocado,mun_0102804000,2027-10-01,2027-12-31,29.5971,27.4047,ha,1.080001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102805000,2027-01-01,2027-03-31,17.8201,29.2132,ha,0.610002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102805000,2027-04-01,2027-06-30,36.8208,30.4304,ha,1.210001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102805000,2027-07-01,2027-09-30,44.6789,36.3243,ha,1.230000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102805000,2027-10-01,2027-12-31,49.9373,30.4496,ha,1.639999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102806000,2027-01-01,2027-03-31,16.1616,26.0671,ha,0.620000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102806000,2027-04-01,2027-06-30,36.6570,27.1533,ha,1.350002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102806000,2027-07-01,2027-09-30,51.2116,32.4124,ha,1.580000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102806000,2027-10-01,2027-12-31,16.3022,27.1704,ha,0.599999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102807000,2027-01-01,2027-03-31,35.2715,24.4941,ha,1.440000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102807000,2027-04-01,2027-06-30,29.3419,25.5147,ha,1.150000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102807000,2027-07-01,2027-09-30,19.4922,30.4565,ha,0.640001,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102807000,2027-10-01,2027-12-31,39.3174,25.5308,ha,1.539999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102808000,2027-01-01,2027-03-31,29.8244,17.7526,ha,1.680002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102808000,2027-04-01,2027-06-30,12.5748,18.4923,ha,0.680002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102808000,2027-07-01,2027-09-30,38.6295,22.0740,ha,1.750000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102808000,2027-10-01,2027-12-31,23.6851,18.5040,ha,1.279999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102809000,2027-01-01,2027-03-31,16.6111,17.3032,ha,0.960002,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102809000,2027-04-01,2027-06-30,25.9548,18.0242,ha,1.439997,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102809000,2027-07-01,2027-09-30,22.5910,21.5152,ha,1.050002,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102809000,2027-10-01,2027-12-31,28.1354,18.0355,ha,1.560001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102810000,2027-01-01,2027-03-31,13.7302,21.1234,ha,0.650000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102810000,2027-04-01,2027-06-30,37.6260,22.0035,ha,1.710001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102810000,2027-07-01,2027-09-30,23.1135,26.2653,ha,0.880001,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102810000,2027-10-01,2027-12-31,31.2647,22.0174,ha,1.420000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102811000,2027-01-01,2027-03-31,25.9188,16.4043,ha,1.580000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102811000,2027-04-01,2027-06-30,28.8784,17.0878,ha,1.690001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102811000,2027-07-01,2027-09-30,33.2479,20.3975,ha,1.629999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102811000,2027-10-01,2027-12-31,11.9690,17.0986,ha,0.699999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102812000,2027-01-01,2027-03-31,27.1885,24.9436,ha,1.089999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102812000,2027-04-01,2027-06-30,25.2034,25.9829,ha,0.969999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102812000,2027-07-01,2027-09-30,53.3465,31.0154,ha,1.720000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102812000,2027-10-01,2027-12-31,21.8394,25.9993,ha,0.840000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102813000,2027-01-01,2027-03-31,19.3481,23.5953,ha,0.819998,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102813000,2027-04-01,2027-06-30,23.5953,24.5784,ha,0.960001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102813000,2027-07-01,2027-09-30,51.9297,29.3388,ha,1.770001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102813000,2027-10-01,2027-12-31,27.5452,24.5939,ha,1.120001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102814000,2027-01-01,2027-03-31,16.3122,26.7413,ha,0.610000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102814000,2027-04-01,2027-06-30,28.9697,27.8555,ha,1.039999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102814000,2027-07-01,2027-09-30,27.9306,33.2507,ha,0.840000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102814000,2027-10-01,2027-12-31,44.8757,27.8731,ha,1.610000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102815000,2027-01-01,2027-03-31,18.4043,20.2245,ha,0.910000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102815000,2027-04-01,2027-06-30,35.6036,21.0672,ha,1.690002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102815000,2027-07-01,2027-09-30,45.0142,25.1476,ha,1.790000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102815000,2027-10-01,2027-12-31,31.1991,21.0805,ha,1.479998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102816000,2027-01-01,2027-03-31,38.6535,23.1458,ha,1.670001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102816000,2027-04-01,2027-06-30,42.6751,24.1102,ha,1.770002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102816000,2027-07-01,2027-09-30,32.2336,28.7800,ha,1.120000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102816000,2027-10-01,2027-12-31,29.6744,24.1255,ha,1.230001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102817000,2027-01-01,2027-03-31,34.1119,24.7188,ha,1.379998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102817000,2027-04-01,2027-06-30,39.6532,25.7488,ha,1.540002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102817000,2027-07-01,2027-09-30,39.9567,30.7359,ha,1.300001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102817000,2027-10-01,2027-12-31,15.7167,25.7651,ha,0.610000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102818000,2027-01-01,2027-03-31,37.6356,23.8200,ha,1.580000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102818000,2027-04-01,2027-06-30,42.1813,24.8125,ha,1.700002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102818000,2027-07-01,2027-09-30,32.8763,29.6183,ha,1.110000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102818000,2027-10-01,2027-12-31,24.5799,24.8282,ha,0.989999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102819000,2027-01-01,2027-03-31,22.6110,26.2919,ha,0.859999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102819000,2027-04-01,2027-06-30,38.6162,27.3874,ha,1.409999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102819000,2027-07-01,2027-09-30,32.6919,32.6919,ha,1.000000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102819000,2027-10-01,2027-12-31,18.6352,27.4047,ha,0.680000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102820000,2027-01-01,2027-03-31,28.9345,16.6290,ha,1.740002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102820000,2027-04-01,2027-06-30,29.1008,17.3219,ha,1.680000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102820000,2027-07-01,2027-09-30,19.4363,20.6769,ha,0.940001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102820000,2027-10-01,2027-12-31,23.9194,17.3329,ha,1.380000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102821000,2027-01-01,2027-03-31,26.3750,27.1907,ha,0.970001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102821000,2027-04-01,2027-06-30,50.1329,28.3237,ha,1.769998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102821000,2027-07-01,2027-09-30,44.9666,33.8095,ha,1.329999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102821000,2027-10-01,2027-12-31,48.7476,28.3416,ha,1.720002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102822000,2027-01-01,2027-03-31,16.6874,17.7526,ha,0.939998,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102822000,2027-04-01,2027-06-30,15.3486,18.4923,ha,0.830000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102822000,2027-07-01,2027-09-30,28.6962,22.0740,ha,1.300000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102822000,2027-10-01,2027-12-31,13.6930,18.5040,ha,0.740002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102823000,2027-01-01,2027-03-31,40.8489,27.4154,ha,1.489998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102823000,2027-04-01,2027-06-30,43.1223,28.5578,ha,1.510001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102823000,2027-07-01,2027-09-30,25.2258,34.0889,ha,0.740000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102823000,2027-10-01,2027-12-31,50.8649,28.5758,ha,1.779999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102901000,2027-01-01,2027-03-31,19.3549,19.5504,ha,0.990000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102901000,2027-04-01,2027-06-30,28.9183,20.3650,ha,1.420000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102901000,2027-07-01,2027-09-30,20.9060,24.3093,ha,0.860000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102901000,2027-10-01,2027-12-31,30.3629,20.3778,ha,1.489999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102902000,2027-01-01,2027-03-31,20.2874,27.4154,ha,0.740000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102902000,2027-04-01,2027-06-30,25.1309,28.5578,ha,0.880001,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102902000,2027-07-01,2027-09-30,29.6573,34.0889,ha,0.869999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102902000,2027-10-01,2027-12-31,48.2931,28.5758,ha,1.690000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102903000,2027-01-01,2027-03-31,36.4851,27.6402,ha,1.320001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102903000,2027-04-01,2027-06-30,31.9589,28.7918,ha,1.110000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102903000,2027-07-01,2027-09-30,35.3995,34.3684,ha,1.030001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102903000,2027-10-01,2027-12-31,23.9123,28.8100,ha,0.830000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102904000,2027-01-01,2027-03-31,31.7929,24.2694,ha,1.309999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102904000,2027-04-01,2027-06-30,30.0839,25.2806,ha,1.189999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102904000,2027-07-01,2027-09-30,45.5674,30.1771,ha,1.509999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102904000,2027-10-01,2027-12-31,29.5970,25.2966,ha,1.169999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102905000,2027-01-01,2027-03-31,25.5098,19.3256,ha,1.320000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102905000,2027-04-01,2027-06-30,24.1571,20.1309,ha,1.200001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102905000,2027-07-01,2027-09-30,31.4792,24.0299,ha,1.310001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102905000,2027-10-01,2027-12-31,12.4890,20.1436,ha,0.619998,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102906000,2027-01-01,2027-03-31,43.7726,28.9885,ha,1.509999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102906000,2027-04-01,2027-06-30,36.5375,30.1963,ha,1.209999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102906000,2027-07-01,2027-09-30,37.4867,36.0449,ha,1.040000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102906000,2027-10-01,2027-12-31,43.5102,30.2154,ha,1.440001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102907000,2027-01-01,2027-03-31,40.5726,25.8424,ha,1.570001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102907000,2027-04-01,2027-06-30,22.3429,26.9192,ha,0.829999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102907000,2027-07-01,2027-09-30,30.5264,32.1330,ha,0.950002,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102907000,2027-10-01,2027-12-31,31.7847,26.9362,ha,1.179999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102908000,2027-01-01,2027-03-31,32.5345,28.5390,ha,1.140001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102908000,2027-04-01,2027-06-30,34.1874,29.7282,ha,1.149999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102908000,2027-07-01,2027-09-30,49.6804,35.4860,ha,1.400000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102908000,2027-10-01,2027-12-31,22.9051,29.7469,ha,0.770000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102909000,2027-01-01,2027-03-31,30.4132,22.6964,ha,1.340001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102909000,2027-04-01,2027-06-30,19.8594,23.6421,ha,0.840002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102909000,2027-07-01,2027-09-30,33.8654,28.2212,ha,1.199999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102909000,2027-10-01,2027-12-31,39.2706,23.6570,ha,1.659999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102910000,2027-01-01,2027-03-31,25.0784,27.8649,ha,0.900000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102910000,2027-04-01,2027-06-30,34.8311,29.0259,ha,1.200001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102910000,2027-07-01,2027-09-30,60.6336,34.6478,ha,1.749999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102910000,2027-10-01,2027-12-31,20.9119,29.0443,ha,0.720000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102911000,2027-01-01,2027-03-31,17.2920,21.3481,ha,0.810002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102911000,2027-04-01,2027-06-30,36.9144,22.2376,ha,1.659999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102911000,2027-07-01,2027-09-30,39.2862,26.5447,ha,1.480002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102911000,2027-10-01,2027-12-31,32.4873,22.2516,ha,1.459998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102912000,2027-01-01,2027-03-31,25.3009,18.2021,ha,1.389999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102912000,2027-04-01,2027-06-30,19.7189,18.9605,ha,1.039999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102912000,2027-07-01,2027-09-30,37.3441,22.6328,ha,1.649999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102912000,2027-10-01,2027-12-31,21.4389,18.9725,ha,1.129999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102913000,2027-01-01,2027-03-31,22.7796,20.8987,ha,1.090001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102913000,2027-04-01,2027-06-30,20.0278,21.7694,ha,0.919998,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102913000,2027-07-01,2027-09-30,31.9625,25.9858,ha,1.229999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102913000,2027-10-01,2027-12-31,37.0314,21.7832,ha,1.699998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102914000,2027-01-01,2027-03-31,17.7975,24.7188,ha,0.719999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102914000,2027-04-01,2027-06-30,30.6411,25.7488,ha,1.190001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102914000,2027-07-01,2027-09-30,35.6536,30.7359,ha,1.159999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102914000,2027-10-01,2027-12-31,17.0050,25.7651,ha,0.660001,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102915000,2027-01-01,2027-03-31,22.4626,22.0222,ha,1.019998,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102915000,2027-04-01,2027-06-30,37.8507,22.9398,ha,1.650001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102915000,2027-07-01,2027-09-30,35.0501,27.3829,ha,1.280000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102915000,2027-10-01,2027-12-31,23.4134,22.9543,ha,1.020001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102916000,2027-01-01,2027-03-31,13.2133,18.8762,ha,0.699998,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102916000,2027-04-01,2027-06-30,18.8762,19.6627,ha,0.960000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102916000,2027-07-01,2027-09-30,35.9108,23.4711,ha,1.530001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102916000,2027-10-01,2027-12-31,31.8737,19.6751,ha,1.620002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102917000,2027-01-01,2027-03-31,13.8426,15.7302,ha,0.880002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102917000,2027-04-01,2027-06-30,28.6748,16.3856,ha,1.750000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102917000,2027-07-01,2027-09-30,19.7548,19.5592,ha,1.010000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102917000,2027-10-01,2027-12-31,18.0355,16.3959,ha,1.100001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102918000,2027-01-01,2027-03-31,24.0672,28.3143,ha,0.850002,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102918000,2027-04-01,2027-06-30,30.6739,29.4941,ha,1.040001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102918000,2027-07-01,2027-09-30,57.3868,35.2066,ha,1.630001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102918000,2027-10-01,2027-12-31,28.9224,29.5127,ha,0.979998,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102919000,2027-01-01,2027-03-31,25.6716,26.7413,ha,0.959998,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102919000,2027-04-01,2027-06-30,46.7972,27.8555,ha,1.679999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102919000,2027-07-01,2027-09-30,30.9232,33.2507,ha,0.930001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102919000,2027-10-01,2027-12-31,32.6115,27.8731,ha,1.169999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102920000,2027-01-01,2027-03-31,42.0670,29.2132,ha,1.440000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102920000,2027-04-01,2027-06-30,52.3403,30.4304,ha,1.720000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102920000,2027-07-01,2027-09-30,35.5978,36.3243,ha,0.980000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102920000,2027-10-01,2027-12-31,33.7991,30.4496,ha,1.110001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102921000,2027-01-01,2027-03-31,38.6153,21.5728,ha,1.789999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102921000,2027-04-01,2027-06-30,39.7749,22.4717,ha,1.770000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102921000,2027-07-01,2027-09-30,47.7469,26.8241,ha,1.780000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102921000,2027-10-01,2027-12-31,15.5153,22.4859,ha,0.690001,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102922000,2027-01-01,2027-03-31,32.2783,18.8762,ha,1.710000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102922000,2027-04-01,2027-06-30,17.6964,19.6627,ha,0.899998,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102922000,2027-07-01,2027-09-30,33.7984,23.4711,ha,1.440001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102922000,2027-10-01,2027-12-31,28.9224,19.6751,ha,1.470000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102923000,2027-01-01,2027-03-31,40.5839,28.9885,ha,1.400000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102923000,2027-04-01,2027-06-30,53.1455,30.1963,ha,1.760000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102923000,2027-07-01,2027-09-30,50.8233,36.0449,ha,1.410000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102923000,2027-10-01,2027-12-31,27.4960,30.2154,ha,0.910000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102924000,2027-01-01,2027-03-31,21.0335,26.2919,ha,0.799999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102924000,2027-04-01,2027-06-30,17.5279,27.3874,ha,0.639999,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102924000,2027-07-01,2027-09-30,53.6147,32.6919,ha,1.640000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102924000,2027-10-01,2027-12-31,41.9292,27.4047,ha,1.530000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102925000,2027-01-01,2027-03-31,24.6065,16.8538,ha,1.459997,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102925000,2027-04-01,2027-06-30,18.9605,17.5560,ha,1.080001,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102925000,2027-07-01,2027-09-30,21.1659,20.9563,ha,1.010002,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102925000,2027-10-01,2027-12-31,29.8641,17.5671,ha,1.700002,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102926000,2027-01-01,2027-03-31,24.9166,17.3032,ha,1.440000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102926000,2027-04-01,2027-06-30,12.6169,18.0242,ha,0.699998,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102926000,2027-07-01,2027-09-30,15.2758,21.5152,ha,0.710000,low,synthetic_demo,demo-2026-09-v1
avocado,mun_0102926000,2027-10-01,2027-12-31,31.7425,18.0355,ha,1.760001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102927000,2027-01-01,2027-03-31,29.8604,19.7751,ha,1.510000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102927000,2027-04-01,2027-06-30,19.7750,20.5990,ha,0.959998,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102927000,2027-07-01,2027-09-30,24.5887,24.5887,ha,1.000000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102927000,2027-10-01,2027-12-31,32.9792,20.6120,ha,1.600000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102928000,2027-01-01,2027-03-31,36.9434,26.9660,ha,1.369999,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102928000,2027-04-01,2027-06-30,27.2469,28.0896,ha,0.970000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102928000,2027-07-01,2027-09-30,35.5419,33.5301,ha,1.060000,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102928000,2027-10-01,2027-12-31,38.5070,28.1073,ha,1.370000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102929000,2027-01-01,2027-03-31,38.5052,25.8424,ha,1.490001,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102929000,2027-04-01,2027-06-30,30.4187,26.9192,ha,1.130000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102929000,2027-07-01,2027-09-30,41.7729,32.1330,ha,1.300000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102929000,2027-10-01,2027-12-31,34.7477,26.9362,ha,1.290000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102930000,2027-01-01,2027-03-31,14.6785,15.9549,ha,0.919999,moderate,synthetic_demo,demo-2026-09-v1
avocado,mun_0102930000,2027-04-01,2027-06-30,27.7549,16.6197,ha,1.670000,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102930000,2027-07-01,2027-09-30,32.1385,19.8386,ha,1.619998,high,synthetic_demo,demo-2026-09-v1
avocado,mun_0102930000,2027-10-01,2027-12-31,10.3107,16.6302,ha,0.619999,low,synthetic_demo,demo-2026-09-v1
